fichier,format,prompt
lyophiliser-document-sinistre-rehydratation.webp,800x600 (ar 4:3),"Restored archival documents and books after freeze-drying, conservation studio. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-placenta-avant-apres.webp,1200x630 (ar 1.91:1),"Discreet clinical composition: freeze-dried fine powder on the left, filled supplement capsules on the right, clean neutral clinical surface. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-placenta-macro.webp,800x600 (ar 4:3),"Macro of freeze-dried fine beige supplement powder, clinical, discreet. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-placenta-plateau.webp,800x600 (ar 4:3),"Neutral clinical tray with freeze-dried powder and empty capsules, hygienic setting. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-placenta-rehydratation.webp,800x600 (ar 4:3),"Filled dietary supplement capsules and fine powder on a clean clinical surface, discreet. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-echantillon-labo-avant-apres.webp,1200x630 (ar 1.91:1),"Split composition: a liquid biological sample vial on the left, a freeze-dried pellet in a cryovial on the right. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-echantillon-labo-macro.webp,800x600 (ar 4:3),"Macro of a freeze-dried cake/pellet inside a glass laboratory vial, sublimated dry structure. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-echantillon-labo-plateau.webp,800x600 (ar 4:3),"Rows of laboratory vials with freeze-dried samples on a lyophilizer shelf. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-echantillon-labo-rehydratation.webp,800x600 (ar 4:3),"A laboratory vial with freeze-dried sample being reconstituted with a pipette. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
img/atelier/atelier-1.webp,600x450 (4:3),"Interior of an industrial freeze-drying vacuum chamber with stainless-steel shelves and frost, clean modern food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
img/atelier/atelier-2.webp,600x450 (4:3),"A technician in a white coat and gloves loading trays of product into a large lyophilizer, clean food lab. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
img/atelier/atelier-3.webp,600x450 (4:3),"A gloved hand holding a piece of freeze-dried product, porous dry texture, close-up in a lab. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
img/atelier/atelier-4.webp,600x450 (4:3),"A technician measuring water activity (aw) with a benchtop meter in a food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
img/atelier/atelier-5.webp,600x450 (4:3),"Barrier packaging line: freeze-dried product sealed in sachets with nitrogen flushing, clean production. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
img/atelier/atelier-6.webp,600x450 (4:3),"Wide shot of a modern 850 square-meter freeze-drying laboratory and workshop with stainless-steel equipment. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
og-cover.webp,1200x630,"Wide social-share banner for a premium freeze-drying company, icy frosted aesthetic, teal and white palette, subtle snowflake crystal motif, clean, leaving empty space for a headline. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
